iter	RMSE
0	8.825229545
1	8.500066031
2	8.18931677
3	7.894719765
4	7.606438868
5	7.332741904
6	7.068244718
7	6.809251455
8	6.569413471
9	6.335353946
10	6.106712864
11	5.886335525
12	5.673026872
13	5.472194452
14	5.285054716
15	5.097460406
16	4.912541072
17	4.740880931
18	4.580543954
19	4.416229565
20	4.259769132
21	4.110515422
22	3.965716523
23	3.826590359
24	3.693649253
25	3.563311551
26	3.440524454
27	3.321231058
28	3.204090145
29	3.092526975
30	2.988855054
31	2.884829123
32	2.787098227
33	2.69267464
34	2.601844476
35	2.512540874
36	2.426957667
37	2.344930182
38	2.266128936
39	2.191372227
40	2.117102087
41	2.045612545
42	1.980354909
43	1.91372644
44	1.85190024
45	1.792503979
46	1.734584579
47	1.67994523
48	1.62408263
49	1.570420414
50	1.519334103
51	1.470215337
52	1.425595937
53	1.381316708
54	1.338611133
55	1.295270878
56	1.256214978
57	1.216685271
58	1.180551602
59	1.144817973
60	1.110756513
61	1.077507962
62	1.045263579
63	1.015416841
64	0.9851471776
65	0.9565024374
66	0.9291073885
67	0.9021832982
68	0.8775093277
69	0.8530339729
70	0.8292762335
71	0.8071079961
72	0.7871677152
73	0.7655678451
74	0.7461140851
75	0.7279482635
76	0.7094965515
77	0.6918884946
78	0.674091365
79	0.6579821045
80	0.6436003334
81	0.6279030633
82	0.6131125284
83	0.5987784071
84	0.5846752851
85	0.5710260397
86	0.5583436877
87	0.5464144963
88	0.5348155668
89	0.5244545176
90	0.5132869265
91	0.5030564362
92	0.4932538785
93	0.4837477603
94	0.4744594075
95	0.4655031524
96	0.4570622657
97	0.4486113176
98	0.4401879819
99	0.432395649
100	0.4258839344
101	0.4187055349
102	0.4118190227
103	0.4050491983
104	0.3986715528
105	0.3924956145
106	0.3864330384
107	0.3809815692
108	0.3753067782
109	0.370247539
110	0.3653530459
111	0.3606187926
112	0.3557489577
113	0.3513795262
114	0.3468053007
115	0.3427303132
116	0.3388309988
117	0.334725038
118	0.3309633607
119	0.3274378124
120	0.3238898643
121	0.3207827974
122	0.3175254496
123	0.3146896235
124	0.3114761577
125	0.3087233236
126	0.3059281199
127	0.3032457291
128	0.3008493194
129	0.2985619714
130	0.2965266577
131	0.2941329189
132	0.2918637492
133	0.2896549988
134	0.2875813697
135	0.2856837434
136	0.2839892476
137	0.2823129518
138	0.2807954015
139	0.2790436877
140	0.2773377542
141	0.2758805816
142	0.2743943062
143	0.2730263462
144	0.2717156909
145	0.2703249196
146	0.2689547156
147	0.26743832
148	0.2661693464
149	0.265107385
150	0.2638568351
151	0.2627478004
152	0.2617198708
