iter	Passed	Remaining
0	452	452444
1	455	227421
2	458	152354
3	831	207115
4	834	166032
5	1146	189877
6	1215	172475
7	1218	151066
8	1220	134386
9	1223	121080
10	1225	110180
11	1263	103987
12	1277	96996
13	1279	90144
14	1287	84516
15	1290	79368
16	1295	74891
17	1298	70823
18	1308	67572
19	1311	64244
20	1316	61357
21	1327	59031
22	1330	56518
23	1336	54344
24	1338	52198
25	1343	50329
26	1346	48509
27	1349	46839
28	1351	45250
29	1353	43771
30	1362	42593
31	1365	41298
32	1369	40134
33	1372	38990
34	1375	37913
35	1378	36905
36	1380	35938
37	1387	35132
38	1392	34313
39	1397	33543
40	1399	32743
41	1407	32097
42	1414	31472
43	1436	31218
44	1438	30527
45	1442	29909
46	1444	29290
47	1447	28708
48	1450	28141
49	1452	27594
50	1454	27062
51	1456	26547
52	1458	26054
53	1460	25586
54	1463	25138
55	1466	24727
56	1481	24515
57	1483	24098
58	1489	23751
59	1491	23365
60	1499	23081
61	1523	23048
62	1525	22687
63	1527	22337
64	1542	22192
65	1544	21862
66	1551	21603
67	1553	21292
68	1555	20993
69	1564	20785
70	1566	20501
71	1571	20259
72	1574	19995
73	1578	19756
74	1589	19601
75	1591	19354
76	1593	19106
77	1597	18881
78	1604	18708
79	1607	18486
80	1719	19507
81	1727	19335
82	1729	19105
83	1733	18903
84	1737	18698
85	1739	18482
86	1740	18269
87	1743	18064
88	1747	17891
89	1752	17715
90	1755	17540
91	1770	17472
92	1790	17459
93	1793	17283
94	1795	17103
95	1799	16941
96	1801	16766
97	1802	16593
98	1807	16449
99	1809	16288
100	1816	16166
101	1818	16008
102	1823	15883
103	1825	15730
104	1827	15580
105	1830	15438
106	1832	15296
107	1834	15153
108	1836	15014
109	1841	14896
110	1845	14780
111	1848	14659
112	1851	14534
113	1854	14412
114	1858	14303
115	1865	14217
116	1867	14096
117	1869	13975
118	1871	13857
119	1878	13775
120	1880	13661
121	1884	13562
122	1886	13451
123	1888	13341
124	1891	13239
125	1897	13162
126	1908	13116
127	1910	13014
128	1913	12923
129	1916	12823
130	1918	12727
131	1932	12707
132	1934	12611
133	1938	12526
134	1941	12439
135	1944	12350
136	1950	12285
137	1952	12198
138	1954	12109
139	1958	12031
140	1960	11944
141	1962	11859
142	1966	11787
143	1968	11703
144	1972	11630
145	1974	11548
146	1976	11468
147	1978	11389
148	1981	11314
149	1984	11247
150	1994	11212
151	1999	11156
152	2010	11130
153	2018	11086
154	2029	11062
155	2060	11148
156	2074	11136
157	2077	11072
158	2080	11002
159	2082	10931
160	2100	10945
161	2104	10883
162	2109	10833
163	2113	10772
164	2118	10722
165	2120	10655
166	2127	10613
167	2130	10549
168	2133	10491
169	2136	10428
170	2141	10384
171	2147	10338
172	2150	10279
173	2152	10218
174	2185	10302
175	2191	10261
176	2194	10204
177	2199	10156
178	2202	10102
179	2208	10062
180	2212	10010
181	2219	9977
182	2222	9922
183	2227	9879
184	2235	9846
185	2240	9805
186	2243	9753
187	2245	9698
188	2247	9645
189	2249	9591
190	2251	9537
191	2255	9492
192	2257	9441
193	2263	9402
194	2266	9356
195	2268	9307
196	2277	9282
197	2283	9249
198	2292	9225
199	2316	9267
200	2318	9215
201	2321	9169
202	2326	9134
203	2337	9119
204	2347	9105
205	2350	9061
206	2357	9029
207	2367	9014
208	2383	9021
209	2385	8973
210	2389	8936
211	2396	8906
212	2408	8900
213	2414	8866
214	2425	8856
215	2429	8819
216	2441	8807
217	2455	8806
218	2461	8778
219	2463	8733
220	2465	8690
221	2469	8653
222	2471	8611
223	2478	8586
224	2483	8553
225	2486	8515
226	2488	8474
227	2493	8441
228	2495	8402
229	2498	8363
230	2500	8323
231	2502	8285
232	2506	8252
233	2508	8212
234	2510	8173
235	2514	8139
236	2517	8106
237	2523	8080
238	2525	8041
239	2527	8003
240	2529	7966
241	2534	7938
242	2537	7906
243	2541	7874
244	2543	7837
245	2548	7811
246	2550	7774
247	2551	7737
248	2553	7702
249	2556	7668
250	2558	7633
251	2559	7598
252	2564	7571
253	2567	7540
254	2568	7505
255	2570	7471
256	2575	7445
257	2578	7414
258	2580	7382
259	2586	7361
260	2588	7329
261	2593	7304
262	2597	7278
263	2599	7247
264	2601	7216
265	2603	7184
266	2607	7157
267	2611	7133
268	2613	7102
269	2618	7080
270	2620	7050
